company_name,perm_id,data_type,disclosure,metric_description,metric_name,metric_unit,metric_value,metric_year,nb_points_of_observations,metric_period,provider_name,reported_date,pillar,headquarter_country
CF Industries Holdings Inc,4295903461,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,29,31/12/2017,267,P1Y,Clarity AI,,E,United States
Petronas Chemicals Group Bhd,5001150689,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,340,31/12/2020,267,P1Y,Clarity AI,,E,Malaysia
Woodside Energy Group Ltd,4295857433,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,41,31/12/2016,267,P1Y,Clarity AI,,E,Australia
International Flavors & Fragrances Inc,4295904309,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,0.83,31/12/2018,267,P1Y,Clarity AI,,E,United States
Lanxess AG,4295870205,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,1000,31/12/2018,267,P1Y,Clarity AI,,E,Germany
Orsted A/S,4296730041,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,625,31/12/2021,267,P1Y,Clarity AI,31/12/2021 0:00,E,Denmark
CF Industries Holdings Inc,4295903461,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,32,31/12/2016,267,P1Y,Clarity AI,,E,United States
Lanxess AG,4295870205,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,1100,31/12/2016,267,P1Y,Clarity AI,,E,Germany
Lanxess AG,4295870205,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,900,31/12/2019,267,P1Y,Clarity AI,,E,Germany
International Flavors & Fragrances Inc,4295904309,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,1.87,31/12/2019,267,P1Y,Clarity AI,,E,United States
China Resources Beer Holdings Co Ltd,4295871002,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,221,31/12/2017,266,P1Y,Clarity AI,,E,"Hong Kong SAR, China"
Polymetal International PLC,5036206981,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,1030,31/12/2018,266,P1Y,Clarity AI,,E,
Wharf Holdings Ltd,4295871557,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,0.053,31/12/2021,266,P1Y,Clarity AI,31/12/2021 0:00,E,"Hong Kong SAR, China"
Pirelli & C SpA,4295875704,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,19,31/12/2017,266,P1Y,Clarity AI,31/12/2017 0:00,E,Italy
Wharf Holdings Ltd,4295871557,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,0.05,31/12/2020,266,P1Y,Clarity AI,,E,"Hong Kong SAR, China"
Pirelli & C SpA,4295875704,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,10.7,31/12/2020,266,P1Y,Clarity AI,,E,Italy
Polymetal International PLC,5036206981,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,954,31/12/2019,266,P1Y,Clarity AI,,E,
Geberit AG,4295890739,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,251.6,31/12/2020,266,P1Y,Clarity AI,,E,Switzerland
Geberit AG,4295890739,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,294.832,31/12/2018,266,P1Y,Clarity AI,,E,Switzerland
Geberit AG,4295890739,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,255.965,31/12/2021,266,P1Y,Clarity AI,31/12/2021 0:00,E,Switzerland
Fincantieri SpA,4295875577,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,0.04,31/12/2021,266,P1Y,Clarity AI,31/12/2021 0:00,E,Italy
China Resources Beer Holdings Co Ltd,4295871002,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,90,31/12/2019,266,P1Y,Clarity AI,,E,"Hong Kong SAR, China"
China Resources Beer Holdings Co Ltd,4295871002,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,333,31/12/2016,266,P1Y,Clarity AI,,E,"Hong Kong SAR, China"
Sociedad Quimica y Minera de Chile SA,4295863394,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,1448.8,31/12/2022,266,P1Y,Clarity AI,31/12/2022 0:00,E,Chile
Fincantieri SpA,4295875577,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,0.74,31/12/2018,266,P1Y,Clarity AI,,E,Italy
Polymetal International PLC,5036206981,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,983,31/12/2017,266,P1Y,Clarity AI,,E,
Polymetal International PLC,5036206981,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,847,31/12/2020,266,P1Y,Clarity AI,,E,
China Resources Beer Holdings Co Ltd,4295871002,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,13,31/12/2021,266,P1Y,Clarity AI,31/12/2021 0:00,E,"Hong Kong SAR, China"
Fincantieri SpA,4295875577,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,0.06,31/12/2019,266,P1Y,Clarity AI,,E,Italy
China Resources Beer Holdings Co Ltd,4295871002,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,100,31/12/2018,266,P1Y,Clarity AI,,E,"Hong Kong SAR, China"
Geberit AG,4295890739,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,287.413,31/12/2019,266,P1Y,Clarity AI,,E,Switzerland
Fincantieri SpA,4295875577,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,0.04,31/12/2020,266,P1Y,Clarity AI,,E,Italy
Geberit AG,4295890739,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,304.503,31/12/2017,266,P1Y,Clarity AI,31/12/2017 0:00,E,Switzerland
Pirelli & C SpA,4295875704,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,10.1,31/12/2021,266,P1Y,Clarity AI,31/12/2021 0:00,E,Italy
China Resources Beer Holdings Co Ltd,4295871002,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,23,31/12/2020,266,P1Y,Clarity AI,,E,"Hong Kong SAR, China"
Polymetal International PLC,5036206981,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,847,31/12/2016,266,P1Y,Clarity AI,,E,
Geberit AG,4295890739,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,256.008,31/12/2022,266,P1Y,Clarity AI,31/12/2022 0:00,E,Switzerland
General Motors Co,4298546138,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,43,31/12/2021,265,P1Y,Clarity AI,31/12/2021 0:00,E,United States
Umicore SA,4295859347,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,661,31/12/2017,265,P1Y,Clarity AI,31/12/2017 0:00,E,Belgium
Celestica Inc,4295861779,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,0.47,31/12/2020,265,P1Y,Clarity AI,,E,Canada
Umicore SA,4295859347,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,531,31/12/2019,265,P1Y,Clarity AI,,E,Belgium
Trelleborg AB,4295890333,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,113,31/12/2019,265,P1Y,Clarity AI,,E,Sweden
Umicore SA,4295859347,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,372,31/12/2021,265,P1Y,Clarity AI,31/12/2021 0:00,E,Belgium
Trelleborg AB,4295890333,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,184,31/12/2016,265,P1Y,Clarity AI,,E,Sweden
Umicore SA,4295859347,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,892,31/12/2016,265,P1Y,Clarity AI,31/12/2016 0:00,E,Belgium
General Motors Co,4298546138,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,32,31/12/2016,265,P1Y,Clarity AI,,E,United States
General Motors Co,4298546138,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,26,31/12/2018,265,P1Y,Clarity AI,,E,United States
Trelleborg AB,4295890333,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,181,31/12/2018,265,P1Y,Clarity AI,,E,Sweden
Trelleborg AB,4295890333,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,74,31/12/2021,265,P1Y,Clarity AI,31/12/2021 0:00,E,Sweden
Atkore Inc,5035168041,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,0.1,31/12/2021,265,P1Y,Clarity AI,31/12/2021 0:00,E,United States
Trelleborg AB,4295890333,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,55,31/12/2020,265,P1Y,Clarity AI,,E,Sweden
Celestica Inc,4295861779,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,0.0023,31/12/2021,265,P1Y,Clarity AI,31/12/2021 0:00,E,Canada
Umicore SA,4295859347,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,389,31/12/2020,265,P1Y,Clarity AI,,E,Belgium
General Motors Co,4298546138,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,26,31/12/2017,265,P1Y,Clarity AI,,E,United States
Umicore SA,4295859347,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,657,31/12/2018,265,P1Y,Clarity AI,31/12/2018 0:00,E,Belgium
General Motors Co,4298546138,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,26.2,31/12/2020,265,P1Y,Clarity AI,,E,United States
Trelleborg AB,4295890333,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,187,31/12/2017,265,P1Y,Clarity AI,,E,Sweden
Trelleborg AB,4295890333,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,65,31/12/2022,265,P1Y,Clarity AI,31/12/2022 0:00,E,Sweden
Atkore Inc,5035168041,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,0.09,31/12/2020,265,P1Y,Clarity AI,,E,United States
AUO Corp,4295890965,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,51.93,31/12/2020,264,P1Y,Clarity AI,,E,"Taiwan, China"
Kinross Gold Corp,4295862452,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,1129,31/12/2020,264,P1Y,Clarity AI,,E,Canada
Kinross Gold Corp,4295862452,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,1076,31/12/2021,264,P1Y,Clarity AI,31/12/2021 0:00,E,Canada
AUO Corp,4295890965,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,53.8,31/12/2018,264,P1Y,Clarity AI,,E,"Taiwan, China"
AUO Corp,4295890965,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,47.3,31/12/2017,264,P1Y,Clarity AI,,E,"Taiwan, China"
AUO Corp,4295890965,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,40.7,31/12/2016,264,P1Y,Clarity AI,,E,"Taiwan, China"
AUO Corp,4295890965,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,49.96,31/12/2021,264,P1Y,Clarity AI,31/12/2021 0:00,E,"Taiwan, China"
Turkiye Sise ve Cam Fabrikalari AS,4295893559,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,4358.086,31/12/2021,264,P1Y,Clarity AI,31/12/2021 0:00,E,Turkey
Anglo American PLC,4295896494,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,29500,31/12/2017,263,P1Y,Clarity AI,31/12/2017 0:00,E,United Kingdom
Anglo American PLC,4295896494,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,35700,31/12/2018,263,P1Y,Clarity AI,31/12/2018 0:00,E,United Kingdom
Anglo American PLC,4295896494,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,8224,31/12/2021,263,P1Y,Clarity AI,31/12/2021 0:00,E,United Kingdom
NTPC Ltd,4295874173,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,1279366.2,31/12/2020,263,P1Y,Clarity AI,,E,India
Geely Automobile Holdings Ltd,4295871263,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,21.35,31/12/2017,263,P1Y,Clarity AI,,E,Cayman Islands
China High Speed Transmission Equipment Group Co Ltd,4295864969,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,0.06819,31/12/2022,263,P1Y,Clarity AI,31/12/2022 0:00,E,Cayman Islands
China High Speed Transmission Equipment Group Co Ltd,4295864969,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,0.01929,31/12/2017,263,P1Y,Clarity AI,,E,Cayman Islands
Vale SA,4295859761,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,291800,31/12/2017,263,P1Y,Clarity AI,,E,Brazil
Geely Automobile Holdings Ltd,4295871263,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,9.6,31/12/2019,263,P1Y,Clarity AI,,E,Cayman Islands
Geely Automobile Holdings Ltd,4295871263,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,13.56,31/12/2020,263,P1Y,Clarity AI,,E,Cayman Islands
Vale SA,4295859761,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,86300,31/12/2019,263,P1Y,Clarity AI,,E,Brazil
Anglo American PLC,4295896494,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,28400,31/12/2019,263,P1Y,Clarity AI,31/12/2019 0:00,E,United Kingdom
China High Speed Transmission Equipment Group Co Ltd,4295864969,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,0.01985,31/12/2018,263,P1Y,Clarity AI,31/12/2018 0:00,E,Cayman Islands
NTPC Ltd,4295874173,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,959902,31/12/2018,263,P1Y,Clarity AI,,E,India
NTPC Ltd,4295874173,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,832362.2,31/12/2017,263,P1Y,Clarity AI,31/12/2017 0:00,E,India
Vale SA,4295859761,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,170700,31/12/2018,263,P1Y,Clarity AI,,E,Brazil
Anglo American PLC,4295896494,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,13100,31/12/2020,263,P1Y,Clarity AI,,E,United Kingdom
Vale SA,4295859761,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,50666,31/12/2021,263,P1Y,Clarity AI,31/12/2021 0:00,E,Brazil
NTPC Ltd,4295874173,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,1203030.042,31/12/2019,263,P1Y,Clarity AI,,E,India
Geely Automobile Holdings Ltd,4295871263,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,26.52,31/12/2018,263,P1Y,Clarity AI,,E,Cayman Islands
Geely Automobile Holdings Ltd,4295871263,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,23.93,31/12/2021,263,P1Y,Clarity AI,31/12/2021 0:00,E,Cayman Islands
Anglo American PLC,4295896494,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,40100,31/12/2016,263,P1Y,Clarity AI,,E,United Kingdom
China High Speed Transmission Equipment Group Co Ltd,4295864969,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,0.01224,31/12/2021,263,P1Y,Clarity AI,31/12/2021 0:00,E,Cayman Islands
China High Speed Transmission Equipment Group Co Ltd,4295864969,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,0.01,31/12/2020,263,P1Y,Clarity AI,,E,Cayman Islands
NTPC Ltd,4295874173,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,1552253.67,31/12/2021,263,P1Y,Clarity AI,31/12/2021 0:00,E,India
Imerys SA,4295867365,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,3357,31/12/2021,262,P1Y,Clarity AI,31/12/2021 0:00,E,France
Shell PLC,4295885039,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,74000,31/12/2018,262,P1Y,Clarity AI,,E,United Kingdom
Johnson Controls International PLC,5043315501,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,3.796,31/12/2021,262,P1Y,Clarity AI,31/12/2021 0:00,E,Ireland
Imerys SA,4295867365,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,2566,31/12/2022,262,P1Y,Clarity AI,31/12/2022 0:00,E,France
Howmet Aerospace Inc,5001815447,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,2.78,31/12/2020,262,P1Y,Clarity AI,,E,United States
Teck Resources Ltd,4295861257,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,3812,31/12/2020,262,P1Y,Clarity AI,,E,Canada
REV Group Inc,5001215612,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,0.62,31/12/2020,262,P1Y,Clarity AI,,E,United States
Shell PLC,4295885039,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,83000,31/12/2016,262,P1Y,Clarity AI,,E,United Kingdom
Petronas Dagangan Bhd,4295883315,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,19.4,31/12/2017,262,P1Y,Clarity AI,,E,Malaysia
Imerys SA,4295867365,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,2509,31/12/2020,262,P1Y,Clarity AI,,E,France
Howmet Aerospace Inc,5001815447,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,3.03,31/12/2021,262,P1Y,Clarity AI,31/12/2021 0:00,E,United States
REV Group Inc,5001215612,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,0.98,31/12/2021,262,P1Y,Clarity AI,31/12/2021 0:00,E,United States
Shell PLC,4295885039,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,36000,31/12/2020,262,P1Y,Clarity AI,,E,United Kingdom
Imerys SA,4295867365,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,4572,31/12/2018,262,P1Y,Clarity AI,,E,France
CRH PLC,4295874867,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,15900,31/12/2020,262,P1Y,Clarity AI,,E,Ireland
Dow Inc,5000296881,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,2233,31/12/2020,262,P1Y,Clarity AI,,E,United States
Saudi Arabian Mining Company SJSC,4297987722,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,22616,31/12/2021,262,P1Y,Clarity AI,,E,Saudi Arabia
Imerys SA,4295867365,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,4621,31/12/2017,262,P1Y,Clarity AI,31/12/2017 0:00,E,France
Petronas Dagangan Bhd,4295883315,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,19.6,31/12/2016,262,P1Y,Clarity AI,,E,Malaysia
Teck Resources Ltd,4295861257,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,4894.4,31/12/2017,262,P1Y,Clarity AI,,E,Canada
Siemens Gamesa Renewable Energy SA,4295889283,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,0,31/12/2022,262,P1Y,Clarity AI,31/12/2022 0:00,E,Spain
Teck Resources Ltd,4295861257,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,3659.4,31/12/2018,262,P1Y,Clarity AI,,E,Canada
Shell PLC,4295885039,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,32000,31/12/2021,262,P1Y,Clarity AI,31/12/2021 0:00,E,United Kingdom
Imerys SA,4295867365,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,3767,31/12/2019,262,P1Y,Clarity AI,,E,France
Teck Resources Ltd,4295861257,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,3093.6,31/12/2021,262,P1Y,Clarity AI,31/12/2021 0:00,E,Canada
CRH PLC,4295874867,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,13600,31/12/2017,262,P1Y,Clarity AI,,E,Ireland
CRH PLC,4295874867,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,14600,31/12/2018,262,P1Y,Clarity AI,,E,Ireland
Capricorn Energy PLC,4295894168,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,30.61,31/12/2020,262,P1Y,Clarity AI,,E,United Kingdom
CRH PLC,4295874867,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,15900,31/12/2019,262,P1Y,Clarity AI,,E,Ireland
Shell PLC,4295885039,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,81000,31/12/2017,262,P1Y,Clarity AI,,E,United Kingdom
Teck Resources Ltd,4295861257,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,4717.9,31/12/2016,262,P1Y,Clarity AI,,E,Canada
Johnson Controls International PLC,5043315501,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,6.19,31/12/2020,262,P1Y,Clarity AI,,E,Ireland
Teck Resources Ltd,4295861257,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,3853,31/12/2019,262,P1Y,Clarity AI,,E,Canada
CRH PLC,4295874867,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,20900,31/12/2016,262,P1Y,Clarity AI,,E,Ireland
Shell PLC,4295885039,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,65000,31/12/2019,262,P1Y,Clarity AI,,E,United Kingdom
Petronas Dagangan Bhd,4295883315,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,20,31/12/2018,262,P1Y,Clarity AI,,E,Malaysia
Capricorn Energy PLC,4295894168,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,0.82,31/12/2021,262,P1Y,Clarity AI,31/12/2021 0:00,E,United Kingdom
Cabot Corp,4295903628,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,39870,31/12/2021,261,P1Y,Clarity AI,31/12/2021 0:00,E,United States
Synthomer PLC,4295894935,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,142.5,31/12/2018,261,P1Y,Clarity AI,,E,United Kingdom
Yara International ASA,4295885383,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,2000,31/12/2021,261,P1Y,Clarity AI,31/12/2021 0:00,E,Norway
Yara International ASA,4295885383,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,2100,31/12/2019,261,P1Y,Clarity AI,,E,Norway
Cabot Corp,4295903628,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,43340,31/12/2018,261,P1Y,Clarity AI,,E,United States
Airbus SE,4295884955,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,14,31/12/2020,261,P1Y,Clarity AI,,E,Netherlands
Airbus SE,4295884955,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,17,31/12/2018,261,P1Y,Clarity AI,,E,Netherlands
Yara International ASA,4295885383,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,2000,31/12/2016,261,P1Y,Clarity AI,,E,Norway
Cabot Corp,4295903628,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,40230,31/12/2019,261,P1Y,Clarity AI,,E,United States
Cabot Corp,4295903628,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,34410,31/12/2020,261,P1Y,Clarity AI,,E,United States
Yara International ASA,4295885383,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,2100,31/12/2020,261,P1Y,Clarity AI,,E,Norway
Cabot Corp,4295903628,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,35680,31/12/2022,261,P1Y,Clarity AI,31/12/2022 0:00,E,United States
Synthomer PLC,4295894935,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,44.652,31/12/2022,261,P1Y,Clarity AI,31/12/2022 0:00,E,United Kingdom
Cabot Corp,4295903628,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,43200,31/12/2017,261,P1Y,Clarity AI,,E,United States
